💝永久免费👉公告,#genre#
爆谷台,http://aktv.top/AKTV/live/aktv2/null/AKTV.m3u8
28 AI 智慧赛马,http://aktv.top/AKTV/live/aktv/28ai/AKTV.m3u8
Channel 5 HD,http://aktv.top/AKTV/live/aktv/channel5hd/AKTV.m3u8
Channel 8 HD,http://aktv.top/AKTV/live/aktv/channel8hd/AKTV.m3u8
Channel U HD,http://aktv.top/AKTV/live/aktv/channeluhd/AKTV.m3u8
Animax-HK,http://aktv.top/AKTV/live/aktv3/animaxhk/AKTV.m3u8
C+台,http://aktv.top/AKTV/live/aktv3/c/AKTV.m3u8
DW,http://aktv.top/AKTV/live/aktv3/dw/AKTV.m3u8
France 24,http://aktv.top/AKTV/live/aktv3/france24/AKTV.m3u8
KIX,http://aktv.top/AKTV/live/aktv3/kix/AKTV.m3u8
Love Nature HD,http://aktv.top/AKTV/live/aktv3/lovenaturehd/AKTV.m3u8
NHK World-Japan,http://aktv.top/AKTV/live/aktv3/nhkworldjapan/AKTV.m3u8
Nick Jr,http://aktv.top/AKTV/live/aktv3/nickjr/AKTV.m3u8
Nickelodeon,http://aktv.top/AKTV/live/aktv3/nickelodeon/AKTV.m3u8
ROCK Action,http://aktv.top/AKTV/live/aktv3/rockaction/AKTV.m3u8
Thrill,http://aktv.top/AKTV/live/aktv3/thrill/AKTV.m3u8
ZooMoo,http://aktv.top/AKTV/live/aktv3/zoomoo/AKTV.m3u8
亚洲新闻台,http://aktv.top/AKTV/live/aktv3/null-3/AKTV.m3u8
东方卫视国际频道,http://aktv.top/AKTV/live/aktv3/null/AKTV.m3u8
无线卫星新闻台,http://aktv.top/AKTV/live/aktv3/null-2/AKTV.m3u8
神州新闻台,http://aktv.top/AKTV/live/aktv3/null-1/AKTV.m3u8
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
TVBS-新闻台,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
tvN,http://aktv.top/AKTV/live/aktv/tvn/AKTV.m3u8
中天亚洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
中天新闻台,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
中视,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8
寰宇新闻台,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8
华视,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8
靖天电影台,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8
日本全天新闻,http://aktv.top/AKTV/live/aktv/null-13/AKTV.m3u8
龙华日韩台,http://aktv.top/AKTV/live/aktv/null-22/AKTV.m3u8
龙华经典台,http://aktv.top/AKTV/live/aktv/null-7/AKTV.m3u8
龙华电影台,http://aktv.top/AKTV/live/aktv/null-23/AKTV.m3u8

央卫频道,#genre#
CCTV-01频道,http://39.165.196.149:9003//hls/1/index.m3u8
CCTV-02频道,http://39.165.196.149:9003//hls/2/index.m3u8
CCTV-03频道,http://39.165.196.149:9003//hls/3/index.m3u8
CCTV-04频道,http://39.165.196.149:9003//hls/4/index.m3u8
CCTV-05频道,http://39.165.196.149:9003//hls/5/index.m3u8
CCTV-5+频道,http://39.165.196.149:9003//hls/16/index.m3u8
CCTV-06频道,http://39.165.196.149:9003//hls/6/index.m3u8
CCTV-07频道,http://39.165.196.149:9003//hls/7/index.m3u8
CCTV-08频道,http://39.165.196.149:9003//hls/8/index.m3u8
CCTV-09频道,http://39.165.196.149:9003//hls/9/index.m3u8
CCTV-10频道,http://39.165.196.149:9003//hls/10/index.m3u8
CCTV-11频道,http://39.165.196.149:9003//hls/11/index.m3u8
CCTV-12频道,http://39.165.196.149:9003//hls/12/index.m3u8
CCTV-13频道,http://39.165.196.149:9003//hls/13/index.m3u8
CCTV-14频道,http://39.165.196.149:9003//hls/14/index.m3u8
CCTV-15频道,http://39.165.196.149:9003//hls/15/index.m3u8
广西卫视频道,http://39.165.196.149:9003//hls/17/index.m3u8
河南卫视频道,http://39.165.196.149:9003//hls/18/index.m3u8
CCTV-01频道,http://27.41.245.2:9003//hls/4/index.m3u8
CCTV-02频道,http://27.41.245.2:9003//hls/5/index.m3u8
CCTV-03频道,http://27.41.245.2:9003//hls/6/index.m3u8
CCTV-04频道,http://27.41.245.2:9003//hls/7/index.m3u8
CCTV-05频道,http://27.41.245.2:9003//hls/8/index.m3u8
CCTV-07频道,http://27.41.245.2:9003//hls/10/index.m3u8
CCTV-08频道,http://27.41.245.2:9003//hls/11/index.m3u8
CCTV-09频道,http://27.41.245.2:9003//hls/12/index.m3u8
CCTV-10频道,http://27.41.245.2:9003//hls/13/index.m3u8
CCTV-12频道,http://27.41.245.2:9003//hls/15/index.m3u8
CCTV-14频道,http://27.41.245.2:9003//hls/17/index.m3u8
北京卫视频道,http://27.41.245.2:9003//hls/22/index.m3u8
东方卫视频道,http://27.41.245.2:9003//hls/25/index.m3u8
江苏卫视频道,http://27.41.245.2:9003//hls/31/index.m3u8
安徽卫视频道,http://27.41.245.2:9003//hls/23/index.m3u8
重庆卫视频道,http://27.41.245.2:9003//hls/42/index.m3u8
贵州卫视频道,http://27.41.245.2:9003//hls/28/index.m3u8
吉林卫视频道,http://27.41.245.2:9003//hls/29/index.m3u8
CCTV-01频道,http://112.102.217.173:9003//hls/13/index.m3u8
CCTV-02频道,http://112.102.217.173:9003//hls/14/index.m3u8
CCTV-03频道,http://112.102.217.173:9003//hls/15/index.m3u8
CCTV-04频道,http://112.102.217.173:9003//hls/16/index.m3u8
CCTV-05频道,http://112.102.217.173:9003//hls/17/index.m3u8
CCTV-5+频道,http://112.102.217.173:9003//hls/18/index.m3u8
CCTV-06频道,http://112.102.217.173:9003//hls/19/index.m3u8
CCTV-07频道,http://112.102.217.173:9003//hls/20/index.m3u8
CCTV-08频道,http://112.102.217.173:9003//hls/21/index.m3u8
CCTV-09频道,http://112.102.217.173:9003//hls/22/index.m3u8
CCTV-10频道,http://112.102.217.173:9003//hls/23/index.m3u8
CCTV-11频道,http://112.102.217.173:9003//hls/24/index.m3u8
CCTV-12频道,http://112.102.217.173:9003//hls/25/index.m3u8
CCTV-13频道,http://112.102.217.173:9003//hls/26/index.m3u8
CCTV-14频道,http://112.102.217.173:9003//hls/27/index.m3u8
CCTV-15频道,http://112.102.217.173:9003//hls/28/index.m3u8
CCTV-16频道,http://112.102.217.173:9003//hls/29/index.m3u8
CCTV-17频道,http://112.102.217.173:9003//hls/30/index.m3u8
CGTn-01频道,http://112.102.217.173:9003//hls/32/index.m3u8
CGTn-02频道,http://112.102.217.173:9003//hls/33/index.m3u8
CETV-01频道,http://112.102.217.173:9003//hls/34/index.m3u8
CETV-02频道,http://112.102.217.173:9003//hls/35/index.m3u8
CETV-04频道,http://112.102.217.173:9003//hls/36/index.m3u8
北京卫视频道,http://112.102.217.173:9003//hls/41/index.m3u8
东方卫视频道,http://112.102.217.173:9003//hls/39/index.m3u8
浙江卫视频道,http://112.102.217.173:9003//hls/40/index.m3u8
江苏卫视频道,http://112.102.217.173:9003//hls/38/index.m3u8
湖南卫视频道,http://112.102.217.173:9003//hls/37/index.m3u8
广东卫视频道,http://112.102.217.173:9003//hls/42/index.m3u8
深圳卫视频道,http://112.102.217.173:9003//hls/51/index.m3u8
天津卫视频道,http://112.102.217.173:9003//hls/46/index.m3u8
安徽卫视频道,http://112.102.217.173:9003//hls/43/index.m3u8
山东卫视频道,http://112.102.217.173:9003//hls/48/index.m3u8
河北卫视频道,http://112.102.217.173:9003//hls/56/index.m3u8
河南卫视频道,http://112.102.217.173:9003//hls/44/index.m3u8
东南卫视频道,http://112.102.217.173:9003//hls/47/index.m3u8
海南卫视频道,http://112.102.217.173:9003//hls/53/index.m3u8
江西卫视频道,http://112.102.217.173:9003//hls/49/index.m3u8
湖北卫视频道,http://112.102.217.173:9003//hls/54/index.m3u8
四川卫视频道,http://112.102.217.173:9003//hls/50/index.m3u8
贵州卫视频道,http://112.102.217.173:9003//hls/52/index.m3u8
重庆卫视频道,http://112.102.217.173:9003//hls/55/index.m3u8
吉林卫视频道,http://112.102.217.173:9003//hls/45/index.m3u8
广西卫视频道,http://112.102.217.173:9003//hls/62/index.m3u8
辽宁卫视频道,http://112.102.217.173:9003//hls/57/index.m3u8
青海卫视频道,http://112.102.217.173:9003//hls/59/index.m3u8
云南卫视频道,http://112.102.217.173:9003//hls/60/index.m3u8
山西卫视频道,http://112.102.217.173:9003//hls/61/index.m3u8
新疆卫视频道,http://112.102.217.173:9003//hls/64/index.m3u8
延边卫视频道,http://112.102.217.173:9003//hls/65/index.m3u8
兵团卫视频道,http://112.102.217.173:9003//hls/66/index.m3u8
宁夏卫视频道,http://112.102.217.173:9003//hls/67/index.m3u8
陕西卫视频道,http://112.102.217.173:9003//hls/68/index.m3u8
西藏卫视频道,http://112.102.217.173:9003//hls/58/index.m3u8
甘肃卫视频道,http://112.102.217.173:9003//hls/70/index.m3u8
内蒙古视频道,http://112.102.217.173:9003//hls/63/index.m3u8
黑龙江视频道,http://112.102.217.173:9003//hls/6/index.m3u8
卡酷少儿频道,http://112.102.217.173:9003//hls/71/index.m3u8
炫动卡通频道,http://112.102.217.173:9003//hls/72/index.m3u8
金鹰卡通频备,http://112.102.217.173:9003//hls/73/index.m3u8
优漫卡通频道,http://112.102.217.173:9003//hls/74/index.m3u8
动作电影频道,http://112.102.217.173:9003//hls/75/index.m3u8
爱情喜剧频道,http://112.102.217.173:9003//hls/76/index.m3u8
惊辣悬疑频道,http://112.102.217.173:9003//hls/77/index.m3u8
东北热剧频道,http://112.102.217.173:9003//hls/78/index.m3u8
嗨看暑假频道,http://112.102.217.173:9003//hls/79/index.m3u8
精品大剧频道,http://112.102.217.173:9003//hls/80/index.m3u8
古装剧场频道,http://112.102.217.173:9003//hls/81/index.m3u8
军旅剧场频道,http://112.102.217.173:9003//hls/82/index.m3u8
家庭剧场频道,http://112.102.217.173:9003//hls/83/index.m3u8
超级电视频道,http://112.102.217.173:9003//hls/84/index.m3u8
超级电影频道,http://112.102.217.173:9003//hls/85/index.m3u8
超级体育频道,http://112.102.217.173:9003//hls/86/index.m3u8
超级综艺频道,http://112.102.217.173:9003//hls/87/index.m3u8
精品记录频道,http://112.102.217.173:9003//hls/88/index.m3u8
精品体育频道,http://112.102.217.173:9003//hls/89/index.m3u8
金牌综艺频道,http://112.102.217.173:9003//hls/90/index.m3u8
军事评论频道,http://112.102.217.173:9003//hls/91/index.m3u8
农业致富频道,http://112.102.217.173:9003//hls/92/index.m3u8
怡伴健康频道,http://112.102.217.173:9003//hls/93/index.m3u8
潮妈辣妹频道,http://112.102.217.173:9003//hls/94/index.m3u8
武博世界频道,http://112.102.217.173:9003//hls/95/index.m3u8
中国功夫频道,http://112.102.217.173:9003//hls/96/index.m3u8
精品综艺频道,http://112.102.217.173:9003//hls/97/index.m3u8
热播精选频道,http://112.102.217.173:9003//hls/98/index.m3u8
黑莓电影频道,http://112.102.217.173:9003//hls/99/index.m3u8
黑莓动画频道,http://112.102.217.173:9003//hls/100/index.m3u8
哒啵赛事频道,http://112.102.217.173:9003//hls/101/index.m3u8
炫舞未来频道,http://112.102.217.173:9003//hls/102/index.m3u8
精彩篮球频道,http://112.102.217.173:9003//hls/103/index.m3u8
精彩竟技频道,http://112.102.217.173:9003//hls/104/index.m3u8
新闻综合频道,http://112.102.217.173:9003//hls/1/index.m3u8
生活频道频道,http://112.102.217.173:9003//hls/3/index.m3u8
影视频道频道,http://112.102.217.173:9003//hls/5/index.m3u8
黑龙江影视频,http://112.102.217.173:9003//hls/7/index.m3u8
黑龙江文体频,http://112.102.217.173:9003//hls/8/index.m3u8
黑龙江都市频,http://112.102.217.173:9003//hls/9/index.m3u8
黑龙江新闻频,http://112.102.217.173:9003//hls/10/index.m3u8
黑龙江公共频,http://112.102.217.173:9003//hls/11/index.m3u8
黑龙江少儿频,http://112.102.217.173:9003//hls/12/index.m3u8
CCTV-01频道,http://218.13.170.98:9901/tsfile/live/0001_1.m3u8
CCTV-02频道,http://218.13.170.98:9901/tsfile/live/0002_1.m3u8
CCTV-03频道,http://218.13.170.98:9901/tsfile/live/0003_1.m3u8
CCTV-04频道,http://218.13.170.98:9901/tsfile/live/0004_1.m3u8
CCTV-05频道,http://218.13.170.98:9901/tsfile/live/0005_1.m3u8
CCTV-06频道,http://218.13.170.98:9901/tsfile/live/0006_1.m3u8
CCTV-07频道,http://218.13.170.98:9901/tsfile/live/0007_1.m3u8
CCTV-08频道,http://218.13.170.98:9901/tsfile/live/0008_1.m3u8
CCTV-09频道,http://218.13.170.98:9901/tsfile/live/0009_1.m3u8
CCTV-10频道,http://218.13.170.98:9901/tsfile/live/0010_1.m3u8
CCTV-11频道,http://218.13.170.98:9901/tsfile/live/0011_1.m3u8
CCTV-12频道,http://218.13.170.98:9901/tsfile/live/0012_1.m3u8
CCTV-13频道,http://218.13.170.98:9901/tsfile/live/0013_1.m3u8
CCTV-14频道,http://218.13.170.98:9901/tsfile/live/0014_1.m3u8
CCTV-15频道,http://218.13.170.98:9901/tsfile/live/0015_1.m3u8
CCTV-17频道,http://218.13.170.98:9901/tsfile/live/0016_1.m3u8
北京卫视频道,http://218.13.170.98:9901/tsfile/live/1004_1.m3u8
东方卫视频道,http://218.13.170.98:9901/tsfile/live/1010_1.m3u8
浙江卫视频道,http://218.13.170.98:9901/tsfile/live/1002_1.m3u8
江苏卫视频道,http://218.13.170.98:9901/tsfile/live/1003_1.m3u8
湖南卫视频道,http://218.13.170.98:9901/tsfile/live/1001_1.m3u8
广东卫视频道,http://218.13.170.98:9901/tsfile/live/0017_1.m3u8
深圳卫视频道,http://218.13.170.98:9901/tsfile/live/1005_1.m3u8
湖北卫视频道,http://218.13.170.98:9901/tsfile/live/1007_1.m3u8
天津卫视频道,http://218.13.170.98:9901/tsfile/live/1008_1.m3u8
安徽卫视频道,http://218.13.170.98:9901/tsfile/live/1013_1.m3u8
山东卫视频道,http://218.13.170.98:9901/tsfile/live/1009_1.m3u8
辽宁卫视频道,http://218.13.170.98:9901/tsfile/live/0121_1.m3u8
四川卫视频道,http://218.13.170.98:9901/tsfile/live/1011_1.m3u8
重庆卫视频道,http://218.13.170.98:9901/tsfile/live/1012_1.m3u8
贵州卫视频道,http://218.13.170.98:9901/tsfile/live/1014_1.m3u8
东南卫视频道,http://218.13.170.98:9901/tsfile/live/1015_1.m3u8
河北卫视频道,http://218.13.170.98:9901/tsfile/live/1016_1.m3u8
江西卫视频道,http://218.13.170.98:9901/tsfile/live/1017_1.m3u8
吉林卫视频道,http://218.13.170.98:9901/tsfile/live/1018_1.m3u8
广西卫视频道,http://218.13.170.98:9901/tsfile/live/1019_1.m3u8
陕西卫视频道,http://218.13.170.98:9901/tsfile/live/0136_1.m3u8
山西卫视频道,http://218.13.170.98:9901/tsfile/live/0118_1.m3u8
青海卫视频道,http://218.13.170.98:9901/tsfile/live/0140_1.m3u8
海南卫视频道,http://218.13.170.98:9901/tsfile/live/1020_1.m3u8
宁夏卫视频道,http://218.13.170.98:9901/tsfile/live/0112_1.m3u8
西藏卫视频道,http://218.13.170.98:9901/tsfile/live/0111_1.m3u8
新疆卫视频道,http://218.13.170.98:9901/tsfile/live/0110_1.m3u8
甘肃卫视频道,http://218.13.170.98:9901/tsfile/live/0141_1.m3u8
兵团卫视频道,http://218.13.170.98:9901/tsfile/live/0115_1.m3u8
内蒙古视频道,http://218.13.170.98:9901/tsfile/live/0109_1.m3u8
黑龙江视频道,http://218.13.170.98:9901/tsfile/live/1006_1.m3u8

咪咕央卫,#genre#
cctv1综合,http://159.75.85.63:36666/migu/608807420.m3u8?migutoken=eeb1112e872459659520e2370334cd123f857823a9908b2271eb845146971c4254f0cdcae55f43745cfde667f854522162359977c5f0e5d93ea045257003dfe585c98c86debbbf377ecd8786a7
cctv2财经,http://159.75.85.63:36666/migu/631780532.m3u8?migutoken=5a6bfb72c702864ff54769daebcc1686d6ef04ce8342bf9ebb126c2f17310efb10a29d96276c99b8e54f6fa68e3d55d80707140f65d2c6dbaa2986154e2706f19965dc4c00cf32068571b0ca12
cctv3综艺,http://159.75.85.63:36666/migu/624878271.m3u8?migutoken=6d52b05ffb543af8ed09bcc27217fd7cb97716e4bf0b836535ea16f276fa18eb1f6c162e9ab530b79a7a8ad2071a0d276a93c56b187d3773f6be483773bf7165758d85cd4440706c2270545502
cctv4中文国际,http://159.75.85.63:36666/migu/631780421.m3u8?migutoken=afcdd5605aa5874bbc70bfc43b14edbb1c589dbdd2562b52f282fb111a206c8c2db4b0be09e2e3c36961f1ad151a7590524fda6a1eb929d33330457425eb9c33d300c036584aef8095ae1699ca
cctv5体育,http://159.75.85.63:36666/migu/641886683.m3u8?migutoken=8b4cbcc8e1ae07257187c3ae271cffb5971ca469bd7167ba34812b2b5331dd0f4ae7ccf0e8b9d8924da04a5204f48bc0421871bd256e263666584b0235cf2fcea6e05afe0be0d480d1368cacaf
cctv5+体育赛事,http://159.75.85.63:36666/migu/641886773.m3u8?migutoken=3368be112eb26a86a0fced5d5667b4532f50a1ef5a54e2a325ed87bfdf4e632382ad1ac8507a10035459a20ed8d4e33f6f273149e488f8d4752b19c7ce3db072606b1b73c25831de133c5ffb53
cctv6电影,http://159.75.85.63:36666/migu/624878396.m3u8?migutoken=2bb1e29845d48c77fd7dc99a6baa143feecf36b5a8a67bc15d3846ea840cf4a191fef94ae650ee41d9d654507ed7ed61a9a9494284cbb7782cec259e0e8fd0471dafb06d6bb93a7579b5ee08f3
cctv7国防军事,http://159.75.85.63:36666/migu/673168121.m3u8?migutoken=53648363c115e150cec450ca403d9b7951eb9260f43ae345aa551d8595ffb7236d9833f76531dbe425b0245cc6fe8e56ff3604e978c6cdd48b40bb964661bca6f235b95cf4fc4539dff4e2c90a
cctv8电视剧,http://159.75.85.63:36666/migu/624878356.m3u8?migutoken=ba01b0df0eb6fc5baf928f6457259284cef44c1e19838572ae47d5d9cc06588ee9e63d0f9bfd1d9073f24656ea3b8d2fdbf2dc7e542fa3a840e8ea429ecd66ba8808d803f8cfca593c30ea5ee7
cctv9纪录,http://159.75.85.63:36666/migu/673168140.m3u8?migutoken=1333a0ca144a0e92c5065c3a66bc3f44ca5eb1f5ded736ac06c5214d6c54431ee178ae321cfdaf0bf4aed7fab3a94182ce6b0b9e70aee10e9f7e2c861810cab37e8350465c35a86bd1eb578c0e
cctv10科教,http://159.75.85.63:36666/migu/624878405.m3u8?migutoken=763c699d2a8222b6d4a5a4259d9a2b281ac507a835e38e7ddacc8dc61c86f45b5c2d187ae07382030348209a3c665ada1b0260e198e7066260c5b5c10f5a5298852721fea1ce23ea333390b7c5
cctv11戏曲,http://159.75.85.63:36666/migu/667987558.m3u8?migutoken=0cd0cc5e9e9131769873e44212bc155f404331dbedb01884f500e0c17c5b2b8aebac1b2ef69fcc255ae175b8a0281b0cd2e39c55c6a536fcb9032eeb56254eade1194441fa33d435028328b641
cctv12社会与法,http://159.75.85.63:36666/migu/673168185.m3u8?migutoken=d451172c1fced180363f22272b033dc29e67738eb45888da2350adc1a34118499b25eaa548623485b9df7e59c84b6299a2f01070ad1b8511220aa814295b9893761de3ac47e7c919b8d4bf0687
cctv13新闻,http://159.75.85.63:36666/migu/608807423.m3u8?migutoken=78362e7e7f944b1597d3db4af4d512d16e0ba963755b97615103f28c9abd71e05fe530c1586ae6e083f03cefc4d352854b0a89dba90f273c9891b1b05cf17edd4f16ab8fff6cb48901e9e6d545
cctv14少儿,http://159.75.85.63:36666/migu/624878440.m3u8?migutoken=f9e77b8bc54e22e3219b2dc7e51b1c4c5c55a53e4d5ff04c38c2d9c83ee227d7c63eb715726623a36d70ff8787d88b0befa341f6426ac78a36bf29820359ff9ca17d9262cef933a0fa59264dc4
cctv15音乐,http://159.75.85.63:36666/migu/673168223.m3u8?migutoken=363d6e39ef348bbc2921e313a349892146eb88e148a4674e45c293fa3702d04624c59f581d24056513b2fcd875b7fb837ab8725f9e75ad060965dc625dbca5570662c921b5443689dfb1d5de5e
cctv17农业农村,http://159.75.85.63:36666/migu/673168256.m3u8?migutoken=ff14e0d8f326bd4db09b0eb5a513de9411ca4011a7e89e4417cabf859c14cbee83ee0f279c82f6acaa8cb5d80c679f0cf904489b9ff0f427704557360c46398bf06cdfce02aabab54e2da59e75
cctv4欧洲,http://159.75.85.63:36666/migu/608807419.m3u8?migutoken=901e49a817078eb73fed1223eed364366d8c3663974893782c2753201e021a1229b8a80affc72d8cc1ff11799ac7512c3d76689cce6f2922fd3c80bb5af0c7656134726059e0a19051de5600a1
cctv4美洲,http://159.75.85.63:36666/migu/608807416.m3u8?migutoken=6e63bb957e7a7a586c3bb9e034114eed7600d1f78d593144e513300359c43b10a47bed77394dfaa20f821c9c3fa2492874691f480632ce24cf1f9c68fdb5d9de9c8b27ef26d83b757654bd8fb6
cctv9documentary,http://159.75.85.63:36666/migu/609006487.m3u8?migutoken=95354d7d948baf9dce46557cd0bcf476badd6e559417913b0ee929c162af2cf60beb200eac579888a33016fbcfc130a1449543381f9aeba1a0bdcc7fc68fb2c573343e1b9dd68b39e6c266b9bc
cctv阿拉伯语,http://159.75.85.63:36666/migu/609154345.m3u8?migutoken=aceca31d6abd217be1a02187c0a20e96c4411e6e93727bb9638452babf83498b972c74168bcbdfbb4e54d90207a1464be39a6ab2ad9f7db52f2265fd5a13893836bafe2d97a7f9f9d66979bab6
cctv西班牙语,http://159.75.85.63:36666/migu/609006450.m3u8?migutoken=7d2101f3817f71d2073984ff4ce8832515039ca849bea2917f938a56a87d1c2351ff38e4310ac0d236c2e3fcff1470fd5638fab41bbb71f698a3af5967e86fbc4c3622ef9234d608542bb74c07
cctv法语,http://159.75.85.63:36666/migu/609006476.m3u8?migutoken=0e801e1d87a9fec14c69505c87a1e193ebfa6cd4ae82c1f0bf01a713ce5a9e51e6830253bcb861cdc2b86f06794cb3e47cc609dbfff33bb523c6ed5bc315e08ff488c9f3b8e4435854ab8b6695
cctv俄语,http://159.75.85.63:36666/migu/609006446.m3u8?migutoken=e36eae7b6bc043fcfa41956bc837c39d303a0ed7c38e487f979b14af2ff489644576c8f6e997b183a492faf696f99a9f004afb8c2b965cf75c604d0920638cc5e27d3e2761c3996b99c01fe1ef
cctv发现之旅,http://159.75.85.63:36666/migu/624878970.m3u8?migutoken=896f19a95a2e23607ca99eeccf1c42512ba527a9273bc58287e28d37e43b1455ee017605b1a87c0849062fddee36d9c2aaee6d74eab9a8e754d9099f32532fdbd5ad12ebba94d40b41b163e19e
中学生,http://159.75.85.63:36666/migu/708869532.m3u8?migutoken=66e595940bdd77aa62020d0d4b2b1e058adeda27f97d1c40044a9e7905312d3a5c8f7dc10cc2784a4c09642ee82c9e0a35306c7f02d20b9f375c2ef2826b51b0d75356c6654e8624eafbb94a8f
cgtn,http://159.75.85.63:36666/migu/609017205.m3u8?migutoken=296930bbfcd367864835745b08aef6d5c1531fa51547e3b0b584e52aa42b4da6045fa3975d72b58d823b96201d97bdd60e915950751cec50e221624fe6f4cea38a64d8d069dd28633cc6c5347b
东方卫视,http://159.75.85.63:36666/migu/651632648.m3u8?migutoken=1b2b8e27ba48ea84743bfbe5803dce0853afcbf169218f39a54948009906f47cae46bf4c90ffb6ea8bf8414738efaa3db2524c2af05314c5175d2785710811d0a89dccf5a937679bfdb1d0890b
广东卫视,http://159.75.85.63:36666/migu/608831231.m3u8?migutoken=671fa5e70a864be113062ab0c3573c15568b01193d0797d67e068fa4ad0ad75a9eb2b8e6628e4b0f570f7c59dae9088b53b85bf82864b247fef336c73ab6c8d19af726c3012b0b4c597f50bc5f
